Plot	Beechtreen	Beechabsolutebasalarea	Understorycoverage	Beechseedsperm2	Smallmammalsdensity	MicePlotDensity	Voledensity	Plottype	Site	Year	Sitelocation	Shannondiversity	Richness	Norwaysprucebasalarea	Douglasfirbasalarea	Understoryscaled	Session
3.1	2.0	0.030171161	5644.0	0.0	33.94	19.38692149	12.75	1.0	3.0	2021.0	"Southern"	0.952607	3.0	0.030152479	32.78743619	1.048079144	316.0
3.1	2.0	0.030171161	5644.0	0.0	43.68	3.58E-8	43.68	1.0	3.0	2022.0	"Southern"	0.5195798	2.0	0.030152479	32.78743619	1.048079144	317.0
3.2	42.0	19.71585385	9096.8	9.2	26.17	20.76907701	9.22	2.0	3.0	2021.0	"Southern"	0.8756432	3.0	0.0	9.627227995	2.170924686	326.0
3.2	42.0	19.71585385	9096.8	153.2	8.3	4.85E-8	8.3	2.0	3.0	2022.0	"Southern"	0.0	1.0	0.0	9.627227995	2.170924686	327.0
3.3	118.0	29.48770298	2689.2	14.0	33.87	24.06837281	20.84	3.0	3.0	2021.0	"Southern"	1.035361	3.0	0.424247227	0.475194829	0.087182478	336.0
3.3	118.0	29.48770298	2689.2	164.4	12.96	5.0E-7	12.96	3.0	3.0	2022.0	"Southern"	0.6829081	2.0	0.424247227	0.475194829	0.087182478	337.0
3.4	105.0	20.45529614	3170.6	13.6	21.24	15.23243625	8.41	4.0	3.0	2021.0	"Southern"	0.6901857	2.0	6.278487276	0.0	0.243733059	346.0
3.4	105.0	20.45529614	3170.6	330.8	6.03	3.44E-8	6.03	4.0	3.0	2022.0	"Southern"	0.0	1.0	6.278487276	0.0	0.243733059	347.0
3.5	7.0	0.0	16.6	0.0	34.29	19.43591768	0.0	5.0	3.0	2021.0	"Southern"	0.6869616	2.0	41.19423932	0.0	-0.781943157	356.0
3.5	7.0	0.0	16.6	0.0	1.0	8.9E-7	1.0	5.0	3.0	2022.0	"Southern"	0.0	1.0	41.19423932	0.0	-0.781943157	357.0
